"fid","objeto_codigo","planta","tema","subtema","objeto_designacao","etiqueta","geometria","observacoes"
"1","1","Ordenamento","Área de Intervenção do Plano","Área de Intervenção do Plano","Área de Intervenção do Plano",,"polígono",
"2","2","Ordenamento","Classificação e Qualificação do Solo","Solo Urbano","Espaço Central","EC","polígono",
"3","3","Ordenamento","Classificação e Qualificação do Solo","Solo Urbano","Espaço Habitacional","EH","polígono",
"4","4","Ordenamento","Classificação e Qualificação do Solo","Solo Urbano","Espaço Urbano de Baixa Densidade","BD","polígono",
"5","5","Ordenamento","Classificação e Qualificação do Solo","Solo Urbano","Espaço de Atividades Económicas","AE","polígono",
"6","151","Ordenamento","Classificação e Qualificação do Solo","Solo Urbano","Espaço de uso especial – infraestrutura estruturante","UEI","polígono",
"7","152","Ordenamento","Classificação e Qualificação do Solo","Solo Urbano","Espaço de uso especial – equipamento","UEE","polígono",
"8","6","Ordenamento","Classificação e Qualificação do Solo","Solo Urbano","Espaço de uso especial – turístico","UET","polígono",
"9","7","Ordenamento","Classificação e Qualificação do Solo","Solo Urbano","Espaço Verde","EV","polígono",
"10","8","Ordenamento","Classificação e Qualificação do Solo","Solo Rústico","Espaço Agrícola","A","polígono",
"11","9","Ordenamento","Classificação e Qualificação do Solo","Solo Rústico","Espaço Florestal","F","polígono",
"12","10","Ordenamento","Classificação e Qualificação do Solo","Solo Rústico","Espaço de Exploração de Recursos Energéticos e Geológicos","EG","polígono",
"13","11","Ordenamento","Classificação e Qualificação do Solo","Solo Rústico","Espaço Natural e Paisagístico","NP","polígono",
"14","12","Ordenamento","Classificação e Qualificação do Solo","Solo Rústico","Espaço de Atividades Industriais","I","polígono",
"15","13","Ordenamento","Classificação e Qualificação do Solo","Solo Rústico","Aglomerado Rural","AR","polígono",
"16","14","Ordenamento","Classificação e Qualificação do Solo","Solo Rústico","Área de Edificação Dispersa","ED","polígono",
"17","15","Ordenamento","Classificação e Qualificação do Solo","Solo Rústico","Espaço Cultural","C","polígono",
"18","16","Ordenamento","Classificação e Qualificação do Solo","Solo Rústico","Espaço de Ocupação Turística","T","polígono",
"19","17","Ordenamento","Classificação e Qualificação do Solo","Solo Rústico","Espaço de Equipamentos e Infraestruturas","EI","polígono",
"20","18","Ordenamento","Áreas com Funções Específicas","Estrutura Ecológica Municipal","Estrutura Ecológica Municipal",,"polígono",
"21","19","Ordenamento","Áreas com Funções Específicas","Espaço Canal","Espaço Canal",,"polígono",
"22","133","Ordenamento","Áreas com Funções Específicas","Risco","Área de Risco","R","polígono",
"23","134","Ordenamento","Áreas com Funções Específicas","Risco","Área de Perigosidade","P","polígono",
"24","139","Ordenamento","Áreas com Funções Específicas","Ruído","Zona Sensível ao Ruído",,"polígono",
"25","140","Ordenamento","Áreas com Funções Específicas","Ruído","Zona Mista ao Ruído",,"polígono",
"26","145","Ordenamento","Áreas com Funções Específicas","Zona de proteção e de salvaguarda dos recursos e valores naturais","Zona de proteção e de salvaguarda dos recursos e valores naturais","ZPSRVN","polígono",
"27","149","Ordenamento","Áreas com Funções Específicas","Património geológico","Geossítio",,"polígono",
"28","150","Ordenamento","Áreas com Funções Específicas","Inventário de bens culturais","Imóvel inventariado","I","ponto",
"29","170","Ordenamento","Áreas com Funções Específicas","Património Arqueológico","Sítio Arqueológico","S","polígono, ponto",
"30","20","Ordenamento","Programação da Execução do Plano","Programação da Execução do Plano","Unidade Operativa de Planeamento e Gestão (UOPG)","UOPG","polígono",
"31","138","Ordenamento","Programação da Execução do Plano","Programação da Execução do Plano","Unidade de Execução (UE)",,"polígono",
"32","21","Ordenamento","Áreas de Intervenção de Outros Instrumentos ou Entidades","Programas Territoriais","Área de Intervenção de Programa Especial","PE","polígono",
"33","130","Ordenamento","Áreas de Intervenção de Outros Instrumentos ou Entidades","Programas Territoriais","Área de Intervenção de Programa Setorial","PS","polígono",
"34","131","Ordenamento","Áreas de Intervenção de Outros Instrumentos ou Entidades","Programas Territoriais","Área de Intervenção de Programa Intermunicipal","PI","polígono",
"35","132","Ordenamento","Áreas de Intervenção de Outros Instrumentos ou Entidades","Planos Territoriais","Área de Intervenção de Plano Intermunicipal (PUI, PPI)","PTIM","polígono",
"36","22","Ordenamento","Áreas de Intervenção de Outros Instrumentos ou Entidades","Planos Territoriais","Área de Intervenção de Plano Municipal (PU, PP)","PTM","polígono",
"37","135","Ordenamento","Áreas de Intervenção de Outros Instrumentos ou Entidades","Reabilitação ou Revitalização","Área Urbana de Génese Ilegal (AUGI)","AUGI","polígono",
"38","136","Ordenamento","Áreas de Intervenção de Outros Instrumentos ou Entidades","Reabilitação ou Revitalização","Área de Reabilitação Urbana (ARU)","ARU","polígono",
"39","129","Ordenamento","Áreas de Intervenção de Outros Instrumentos ou Entidades","Áreas de Jurisdição dos Portos","Área de Jurisdição do Porto","AJP","polígono",
"40","23","Ordenamento","Sistemas Estruturantes","Equipamentos de Utilização Coletiva","Equipamento de Utilização Coletiva","EUC","polígono, ponto",
"41","24","Ordenamento","Sistemas Estruturantes","Equipamentos de Utilização Coletiva","Equipamento de Utilização Coletiva Previsto","EUC","polígono, ponto",
"42","25","Ordenamento","Sistemas Estruturantes","Infraestruturas de Circulação e Transporte","Rodovia Principal",,"polígono, linha",
"43","26","Ordenamento","Sistemas Estruturantes","Infraestruturas de Circulação e Transporte","Rodovia Principal Prevista",,"polígono, linha",
