"fid","tema","subtema","objeto_designacao","objeto_codigo","legenda","objeto_acronimo","geometria"
"1","Áreas de proteção do litoral","Faixa marítima de proteção costeira","Faixa marítima de proteção costeira","1","Faixa marítima de proteção costeira","FMPC","polígono"
"2","Áreas de proteção do litoral","Praias","Praias","2","Praias","PRA","polígono"
"3","Áreas de proteção do litoral","Barreiras detríticas","Restingas","3","Barreiras detríticas","REST","polígono"
"4","Áreas de proteção do litoral","Barreiras detríticas","Barreiras soldadas","4","Barreiras detríticas","BARR_SOLD","polígono"
"5","Áreas de proteção do litoral","Barreiras detríticas","Ilhas-Barreira","5","Barreiras detríticas","ILH-BARR","polígono"
"6","Áreas de proteção do litoral","Tômbolos","Tômbolos","6","Tômbolos","TOMB","polígono"
"7","Áreas de proteção do litoral","Sapais","Sapais","7","Sapais","SAP","polígono"
"8","Áreas de proteção do litoral","Ilhéus e rochedos emersos no mar","Ilhéus","8","Ilhéus e rochedos emersos no mar","ILHEUS","polígono"
"9","Áreas de proteção do litoral","Ilhéus e rochedos emersos no mar","Rochedos emersos no mar","9","Ilhéus e rochedos emersos no mar","ROCHEDOS","polígono"
"10","Áreas de proteção do litoral","Dunas costeiras e dunas fósseis","Dunas costeiras litorais","10","Dunas costeiras litorais","DUN_LIT","polígono"
"11","Áreas de proteção do litoral","Dunas costeiras e dunas fósseis","Dunas costeiras interiores","11","Dunas costeiras interiores","DUN_INT","polígono"
"12","Áreas de proteção do litoral","Dunas costeiras e dunas fósseis","Dunas fósseis","12","Dunas fósseis","DUN_FOSS","polígono"
"13","Áreas de proteção do litoral","Arribas e respetivas faixas de proteção","Arribas","13","Arribas","ARRIB","polígono"
"14","Áreas de proteção do litoral","Arribas e respetivas faixas de proteção","Faixa de proteção de arribas a partir do rebordo superior","14","Faixas de proteção das arribas","FPA_SUP","polígono"
"15","Áreas de proteção do litoral","Arribas e respetivas faixas de proteção","Faixa de proteção de arribas a partir da base da arriba","15","Faixas de proteção das arribas","FPA_BASE","polígono"
"16","Áreas de proteção do litoral","Faixa terrestre de proteção costeira","Faixa terrestre de proteção costeira","16","Faixa terrestre de proteção costeira","FTPC","polígono"
"17","Áreas de proteção do litoral","Faixa terrestre de proteção costeira","Águas do mar - Margem","17","Águas do mar - Margem","AG_MAR","polígono"
"18","Áreas de proteção do litoral","Águas de transição e respetivos leitos, margens e faixas de proteção","Águas de transição - Leito","18","Águas de transição - Leito","AT_LEITO","polígono"
"19","Áreas de proteção do litoral","Águas de transição e respetivos leitos, margens e faixas de proteção","Águas de transição - Faixa de proteção - Margem","19","Águas de transição - Faixa de proteção - Margem","AT_MARGEM","polígono"
"20","Áreas de proteção do litoral","Águas de transição e respetivos leitos, margens e faixas de proteção","Águas de transição - Faixa de proteção - Contígua à margem","20","Águas de transição - Faixa de proteção - Contígua à margem","AT_FP","polígono"
"21","Áreas relevantes para a sustentabilidade do ciclo hidrológico terrestre","Cursos de água e respetivos leitos e margens","Cursos de água - Leito","21","Cursos de água - Leito","CA_LEITO","linha, polígono"
"22","Áreas relevantes para a sustentabilidade do ciclo hidrológico terrestre","Cursos de água e respetivos leitos e margens","Cursos de água - Leito canalizado","22","Cursos de água - Leito canalizado","CA_LCANAL","linha"
"23","Áreas relevantes para a sustentabilidade do ciclo hidrológico terrestre","Cursos de água e respetivos leitos e margens","Cursos de água - Margem","23","Cursos de água - Margem","CA_MARGEM","polígono"
"24","Áreas relevantes para a sustentabilidade do ciclo hidrológico terrestre","Lagoas e lagos e respetivos leitos, margens e faixas de proteção","Lagoas e lagos - Leito","24","Lagoas e lagos - Leito","LL_LEITO","polígono"
"25","Áreas relevantes para a sustentabilidade do ciclo hidrológico terrestre","Lagoas e lagos e respetivos leitos, margens e faixas de proteção","Lagoas e lagos - Faixa de proteção - Margem","25","Lagoas e lagos - Faixa de proteção - Margem","LL_MARGEM","polígono"
"26","Áreas relevantes para a sustentabilidade do ciclo hidrológico terrestre","Lagoas e lagos e respetivos leitos, margens e faixas de proteção","Lagoas e lagos - Faixa de proteção - Contígua à margem","26","Lagoas e lagos - Faixa de proteção - Contígua à margem","LL_FP","polígono"
"27","Áreas relevantes para a sustentabilidade do ciclo hidrológico terrestre","Albufeiras que contribuam para a conectividade e coerência ecológica da REN, bem como os respetivos leitos, margens e faixas de proteção","Albufeiras - Leito","27","Albufeiras - Leito","ALB_LEITO","polígono"
"28","Áreas relevantes para a sustentabilidade do ciclo hidrológico terrestre","Albufeiras que contribuam para a conectividade e coerência ecológica da REN, bem como os respetivos leitos, margens e faixas de proteção","Albufeiras - Faixa de proteção - Margem","28","Albufeiras - Faixa de proteção - Margem","ALB_MARGEM","polígono"
"29","Áreas relevantes para a sustentabilidade do ciclo hidrológico terrestre","Albufeiras que contribuam para a conectividade e coerência ecológica da REN, bem como os respetivos leitos, margens e faixas de proteção","Albufeiras - Faixa de proteção - Contígua à margem","29","Albufeiras - Faixa de proteção - Contígua à margem","ALB_FP","polígono"
"30","Áreas relevantes para a sustentabilidade do ciclo hidrológico terrestre","Áreas estratégicas de infiltração e de proteção e recarga de aquíferos","Áreas estratégicas de infiltração e de proteção e recarga de aquíferos","30","Áreas estratégicas de infiltração e de proteção e recarga de aquíferos","AEIPRA","polígono"
"31","Áreas de prevenção de riscos naturais","Zonas adjacentes","Zonas adjacentes","31","Zonas adjacentes","ZA","polígono"
"32","Áreas de prevenção de riscos naturais","Zonas ameaçadas pelo mar","Zonas ameaçadas pelo mar","32","Zonas ameaçadas pelo mar","ZAM","polígono"
"33","Áreas de prevenção de riscos naturais","Zonas ameaçadas pelas cheias","Zonas ameaçadas pelas cheias","33","Zonas ameaçadas pelas cheias","ZAC","polígono"
"34","Áreas de prevenção de riscos naturais","Áreas de elevado risco de erosão hídrica do solo","Áreas de elevado risco de erosão hídrica do solo","34","Áreas de elevado risco de erosão hídrica do solo","AEREHS","polígono"
"35","Áreas de prevenção de riscos naturais","Áreas de instabilidade de vertentes","Áreas de instabilidade de vertentes","35","Áreas de instabilidade de vertentes","AIV","polígono"
"36","Áreas de prevenção de riscos naturais","Áreas de instabilidade de vertentes","Escarpas","36","Escarpas","ESCARP","polígono"
"37","Áreas de exclusão","Exclusão por compromisso - C","Exclusão por compromisso - C","37","Exclusão por compromisso - C","EXCL_C","polígono"
"38","Áreas de exclusão","Exclusão para a satisfação de carências - E","Exclusão para a satisfação de carências - E","38","Exclusão para a satisfação de carências - E","EXCL_E","polígono"
"39","Áreas relevantes para a sustentabilidade do ciclo hidrológico terrestre","Áreas estratégicas de infiltração e de proteção e recarga de aquíferos","Cabeceiras das Bacias Hidrográficas","39","Cabeceiras das Bacias Hidrográficas","CBH","polígono"
