"codigo","planta_o","tema_o","subtema_o","planta_c","tema_c","subtema_c","designacao","geometria"
1,"Ordenamento","Área de Intervenção do Plano","Área de Intervenção do Plano","Condicionantes","Área de Intervenção do Plano","Área de Intervenção do Plano","Área de Intervenção do Plano","Polígono"
2,"Ordenamento","Classificação e Qualificação do Solo","Solo Urbano",,,,"Espaço Central","Polígono"
3,"Ordenamento","Classificação e Qualificação do Solo","Solo Urbano",,,,"Espaço Habitacional","Polígono"
4,"Ordenamento","Classificação e Qualificação do Solo","Solo Urbano",,,,"Espaço Urbano de Baixa Densidade","Polígono"
5,"Ordenamento","Classificação e Qualificação do Solo","Solo Urbano",,,,"Espaço de Atividades Económicas","Polígono"
152,"Ordenamento","Classificação e Qualificação do Solo","Solo Urbano",,,,"Espaço de uso especial – equipamento","Polígono"
151,"Ordenamento","Classificação e Qualificação do Solo","Solo Urbano",,,,"Espaço de uso especial – infraestrutura estruturante","Polígono"
6,"Ordenamento","Classificação e Qualificação do Solo","Solo Urbano",,,,"Espaço de uso especial – turístico","Polígono"
7,"Ordenamento","Classificação e Qualificação do Solo","Solo Urbano",,,,"Espaço Verde","Polígono"
8,"Ordenamento","Classificação e Qualificação do Solo","Solo Rústico",,,,"Espaço Agrícola","Polígono"
9,"Ordenamento","Classificação e Qualificação do Solo","Solo Rústico",,,,"Espaço Florestal","Polígono"
10,"Ordenamento","Classificação e Qualificação do Solo","Solo Rústico",,,,"Espaço de Exploração de Recursos Energéticos e Geológicos","Polígono"
11,"Ordenamento","Classificação e Qualificação do Solo","Solo Rústico",,,,"Espaço Natural e Paisagístico","Polígono"
12,"Ordenamento","Classificação e Qualificação do Solo","Solo Rústico",,,,"Espaço de Atividades Industriais","Polígono"
13,"Ordenamento","Classificação e Qualificação do Solo","Solo Rústico",,,,"Aglomerado Rural","Polígono"
14,"Ordenamento","Classificação e Qualificação do Solo","Solo Rústico",,,,"Área de Edificação Dispersa","Polígono"
15,"Ordenamento","Classificação e Qualificação do Solo","Solo Rústico",,,,"Espaço Cultural","Polígono"
16,"Ordenamento","Classificação e Qualificação do Solo","Solo Rústico",,,,"Espaço de Ocupação Turística","Polígono"
17,"Ordenamento","Classificação e Qualificação do Solo","Solo Rústico",,,,"Espaço de Equipamentos e Infraestruturas","Polígono"
18,"Ordenamento","Áreas com Funções Específicas","Estrutura Ecológica Municipal",,,,"Estrutura Ecológica Municipal","Polígono"
19,"Ordenamento","Áreas com Funções Específicas","Espaço Canal",,,,"Espaço Canal","Polígono"
134,"Ordenamento","Áreas com Funções Específicas","Risco",,,,"Área de Perigosidade","Polígono"
133,"Ordenamento","Áreas com Funções Específicas","Risco",,,,"Área de Risco","Polígono"
139,"Ordenamento","Áreas com Funções Específicas","Ruído",,,,"Zona Sensível ao Ruído","Polígono"
140,"Ordenamento","Áreas com Funções Específicas","Ruído",,,,"Zona Mista ao Ruído","Polígono"
145,"Ordenamento","Áreas com Funções Específicas","Zona de proteção e de salvaguarda dos recursos e valores naturais",,,,"Zona de proteção e de salvaguarda dos recursos e valores naturais","Polígono"
149,"Ordenamento","Áreas com Funções Específicas","Património geológico",,,,"Geossítio","Polígono"
150,"Ordenamento","Áreas com Funções Específicas","Inventário de bens culturais",,,,"Imóvel inventariado","Ponto"
20,"Ordenamento","Programação da Execução do Plano","Programação da Execução do Plano",,,,"Unidade Operativa de Planeamento e Gestão (U.O.P.G.)","Polígono"
138,"Ordenamento","Programação da Execução do Plano","Programação da Execução do Plano",,,,"Unidade de execução","Polígono"
21,"Ordenamento","Áreas de Intervenção de Outros Instrumentos ou Entidades","Programas Territoriais",,,,"Área de Intervenção de Programa Especial","Polígono"
130,"Ordenamento","Áreas de Intervenção de Outros Instrumentos ou Entidades","Programas Territoriais",,,,"Área de Intervenção de Programa Setorial","Polígono"
131,"Ordenamento","Áreas de Intervenção de Outros Instrumentos ou Entidades","Programas Territoriais",,,,"Área de Intervenção de Programa Intermunicipal","Polígono"
132,"Ordenamento","Áreas de Intervenção de Outros Instrumentos ou Entidades","Planos Territoriais",,,,"Área de Intervenção de Plano Intermunicipal (PUI, PPI)","Polígono"
22,"Ordenamento","Áreas de Intervenção de Outros Instrumentos ou Entidades","Planos Territoriais",,,,"Área de Intervenção de Plano Municipal (PU, PP)","Polígono"
135,"Ordenamento","Áreas de Intervenção de Outros Instrumentos ou Entidades","Reabilitação ou Revitalização",,,,"Área Urbana de Génese Ilegal (AUGI)","Polígono"
136,"Ordenamento","Áreas de Intervenção de Outros Instrumentos ou Entidades","Reabilitação ou Revitalização",,,,"Área de Reabilitação Urbana (ARU)","Polígono"
129,"Ordenamento","Áreas de Intervenção de Outros Instrumentos ou Entidades","Área de Jurisdição dos Portos",,,,"Área de Jurisdição do Porto","Polígono"
23,"Ordenamento","Sistemas Estruturantes","Equipamentos de Utilização Coletiva",,,,"Equipamento de Utilização Coletiva","Polígono, Ponto"
24,"Ordenamento","Sistemas Estruturantes","Equipamentos de Utilização Coletiva",,,,"Equipamento de Utilização Coletiva Previsto","Polígono, Ponto"
25,"Ordenamento","Sistemas Estruturantes","Infraestruturas de Circulação e Transporte",,,,"Rodovia Principal","Linha"
26,"Ordenamento","Sistemas Estruturantes","Infraestruturas de Circulação e Transporte",,,,"Rodovia Principal Prevista","Linha"
27,"Ordenamento","Sistemas Estruturantes","Infraestruturas de Circulação e Transporte",,,,"Rodovia Distribuidora","Linha"
28,"Ordenamento","Sistemas Estruturantes","Infraestruturas de Circulação e Transporte",,,,"Rodovia Distribuidora Prevista","Linha"
29,"Ordenamento","Sistemas Estruturantes","Infraestruturas de Circulação e Transporte",,,,"Rodovia de Acesso Local","Linha"
30,"Ordenamento","Sistemas Estruturantes","Infraestruturas de Circulação e Transporte",,,,"Rodovia de Acesso Local Prevista","Linha"
31,"Ordenamento","Sistemas Estruturantes","Infraestruturas de Circulação e Transporte",,,,"Nó Rodoviário","Ponto"
32,"Ordenamento","Sistemas Estruturantes","Infraestruturas de Circulação e Transporte",,,,"Nó Rodoviário Previsto","Ponto"
35,"Ordenamento","Sistemas Estruturantes","Infraestruturas de Circulação e Transporte","Condicionantes","Infraestruturas","Rede Ferroviária","Via-Férrea","Linha"
36,"Ordenamento","Sistemas Estruturantes","Infraestruturas de Circulação e Transporte",,,,"Via-Férrea Prevista","Linha"
33,"Ordenamento","Sistemas Estruturantes","Infraestruturas de Circulação e Transporte",,,,"Estação ou Interface de Transporte","Ponto"
34,"Ordenamento","Sistemas Estruturantes","Infraestruturas de Circulação e Transporte",,,,"Estação ou Interface de Transporte Prevista","Ponto"
146,"Ordenamento","Sistemas Estruturantes","Infraestruturas de Circulação e Transporte",,,,"Estacionamento","Ponto"
147,"Ordenamento","Sistemas Estruturantes","Infraestruturas de Circulação e Transporte",,,,"Estacionamento Previsto","Ponto"
37,"Ordenamento","Sistemas Estruturantes","Infraestruturas de Circulação e Transporte",,,,"Infraestrutura de Transporte Aéreo","Ponto"
38,"Ordenamento","Sistemas Estruturantes","Infraestruturas de Circulação e Transporte",,,,"Infraestrutura de Transporte Aéreo Prevista","Ponto"
39,"Ordenamento","Sistemas Estruturantes","Infraestruturas de Circulação e Transporte",,,,"Porto","Ponto"
40,"Ordenamento","Sistemas Estruturantes","Infraestruturas de Circulação e Transporte",,,,"Porto Previsto","Ponto"
41,"Ordenamento","Sistemas Estruturantes","Infraestruturas de Abastecimento de Água","Condicionantes","Infraestruturas","Abastecimento de Água","Captação, Tratamento ou Armazenamento de Água","Ponto"
42,"Ordenamento","Sistemas Estruturantes","Infraestruturas de Abastecimento de Água",,,,"Captação, Tratamento ou Armazenamento de Água Prevista","Ponto"
45,"Ordenamento","Sistemas Estruturantes","Infraestruturas de Drenagem de Águas Residuais","Condicionantes","Infraestruturas","Drenagem de Águas Residuais","Bombagem ou Tratamento de Águas Residuais","Ponto"
