"table_name","column_name","name","title","description","mime_type","constraint_name"
objeto_tipo,codigo,Código,,Campo do tipo número inteiro que correspondendo ao código utilizado no catálogo de objetos (Anexo I) para permitir a sua articulação com o catálogo de simbologia (Anexo III).,,
objeto_tipo,planta,Planta,,"Descrição: Campo do tipo texto que identifica a planta em que o objeto pode ser representado, podendo ter como domínio do atributo as seguintes opções: “Ordenamento” para planta de ordenamento; “Condicionantes” para planta de condicionantes; Alias: planta; Tipo de data: Texto",,
objeto_tipo,tema,Tema,,"Os campos “TEMA”, “SUBTEMA” e “DESIGNACAO”, do tipo texto, devem ser preenchidos conforme o exposto no Anexo I;",,
objeto_tipo,subtema,Subtema,,"Os campos “TEMA”, “SUBTEMA” e “DESIGNACAO”, do tipo texto, devem ser preenchidos conforme o exposto no Anexo I;",,
objeto_tipo,designacao,Designação,,"Os campos “TEMA”, “SUBTEMA” e “DESIGNACAO”, do tipo texto, devem ser preenchidos conforme o exposto no Anexo I;",,
objeto_ponto,objecto_uuid,UUID,,"Campo do tipo texto que identifica inequivocamente cada registo em qualquer tabela gráfica, devendo ser único e não podendo ser nulo. É chave primária das tabelas gráficas e chave estrangeira para a tabela secundária “ATO_ESPECIFICO”. Deve ser utilizado preferencialmente um Identificador Global Exclusivo (GUID - Globally Unique Identifier) para cada registo. A geração de GUID é possível obter, por exemplo, no seguinte endereço: https://www.guidgenerator.com/;",,
objeto_ponto,codigo,Código,,"Campo do tipo texto, utilizável quando se desagrega ou especifica o objeto. Aplica-se às seguintes situações:
a) Aos objetos cuja desagregação é opcional, que podem ser:
i) Objetos do tema “Classificação e Qualificação do Solo”, de modo a desagregar as categorias de solo em subcategorias;
ii) Objetos do tema “Sistemas Estruturantes”, de modo a identificar a sua especificidade;
iii) Objetos da planta de condicionantes que se pretendam especificar individualmente, como por exemplo, os imóveis classificados, as áreas protegidas ou as captações de água.
b) Aos objetos da planta de ordenamento cuja especificação é obrigatória, que são
i) Objetos do tema “Programação da Execução do Plano” em que é obrigatória a identificação das UOPG e UE estabelecidas no plano;
ii) Objetos dos temas “Programas territoriais” e “Planos territoriais” em que é obrigatória a identificação das áreas do PDM abrangidas por programas setoriais, especiais ou intermunicipais e por planos territoriais de âmbito intermunicipal ou municipal, em vigor;
iii) Objetos do tema “Áreas de Intervenção de outros Instrumentos ou Entidades” bem como, AUGI e ARU representadas na planta de ordenamento.",,
objeto_ponto,legenda,Legenda,,Nova coluna para criar objectos especificos para álem dos que existem na tabela objeto_tipo,,
objeto_ponto,etiqueta,Etiqueta,,"Campo do tipo texto, permite introduzir na simbologia uma etiqueta com uma sigla que identifique na planta o objeto em questão, indicando-se no título 3.1.2 (parágrafos 3.1.2.6 e 3.1.2.7) um exemplo da utilização deste campo.",,
objeto_ponto,fonte_inf,Fonte Inf.,,"Campo do tipo texto, para indicação da fonte/entidade de origem da informação representada (Por exemplo na planta de condicionantes, o objeto pode ter sido fornecido pela entidade que tutela a respetiva servidão).",,
objeto_ponto,data_inf,Data Inf.,,"Campo do tipo data, para indicação da data a que se reporta o objeto ou a data em que a câmara municipal obteve o objeto da fonte referida no campo FONTE_INF.",,
objeto_ponto,dtcc,DTCC,,Descrição: Código para identificar o município a que pertence cada elemento/objeto.; Alias: DTCC; Tipo de data: Texto,,
objeto_linha,objeto_uuid,UUID,,"Campo do tipo texto que identifica inequivocamente cada registo em qualquer tabela gráfica, devendo ser único e não podendo ser nulo. É chave primária das tabelas gráficas e chave estrangeira para a tabela secundária “ATO_ESPECIFICO”. Deve ser utilizado preferencialmente um Identificador Global Exclusivo (GUID - Globally Unique Identifier) para cada registo. A geração de GUID é possível obter, por exemplo, no seguinte endereço: https://www.guidgenerator.com/;",,
objeto_linha,codigo,Código,,"Campo do tipo texto, utilizável quando se desagrega ou especifica o objeto. Aplica-se às seguintes situações:
a) Aos objetos cuja desagregação é opcional, que podem ser:
i) Objetos do tema “Classificação e Qualificação do Solo”, de modo a desagregar as categorias de solo em subcategorias;
ii) Objetos do tema “Sistemas Estruturantes”, de modo a identificar a sua especificidade;
iii) Objetos da planta de condicionantes que se pretendam especificar individualmente, como por exemplo, os imóveis classificados, as áreas protegidas ou as captações de água.
b) Aos objetos da planta de ordenamento cuja especificação é obrigatória, que são
i) Objetos do tema “Programação da Execução do Plano” em que é obrigatória a identificação das UOPG e UE estabelecidas no plano;
ii) Objetos dos temas “Programas territoriais” e “Planos territoriais” em que é obrigatória a identificação das áreas do PDM abrangidas por programas setoriais, especiais ou intermunicipais e por planos territoriais de âmbito intermunicipal ou municipal, em vigor;
iii) Objetos do tema “Áreas de Intervenção de outros Instrumentos ou Entidades” bem como, AUGI e ARU representadas na planta de ordenamento.",,
objeto_linha,legenda,Legenda,,Nova coluna para criar objectos especificos para álem dos que existem na tabela objeto_tipo,,
objeto_linha,etiqueta,Etiqueta,,"Campo do tipo texto, permite introduzir na simbologia uma etiqueta com uma sigla que identifique na planta o objeto em questão, indicando-se no título 3.1.2 (parágrafos 3.1.2.6 e 3.1.2.7) um exemplo da utilização deste campo.",,
objeto_linha,fonte_inf,Fonte Inf.,,"Campo do tipo texto, para indicação da fonte/entidade de origem da informação representada (Por exemplo na planta de condicionantes, o objeto pode ter sido fornecido pela entidade que tutela a respetiva servidão).",,
objeto_linha,data_inf,Data Inf.,,"Campo do tipo data, para indicação da data a que se reporta o objeto ou a data em que a câmara municipal obteve o objeto da fonte referida no campo FONTE_INF.",,
objeto_linha,medida,Medida (km),,"Campo de tipo número decimal que se destina a registar a área dos polígonos em hectares (ha) ou o comprimento das linhas em quilómetros (km).
NOVO - Cálculo automático",,
objeto_linha,dtcc,DTCC,,Descrição: Código para identificar o município a que pertence cada elemento/objeto.; Alias: DTCC; Tipo de data: Texto,,
objeto_poligono,objeto_uuid,UUID,,"Campo do tipo texto que identifica inequivocamente cada registo em qualquer tabela gráfica, devendo ser único e não podendo ser nulo. É chave primária das tabelas gráficas e chave estrangeira para a tabela secundária “ATO_ESPECIFICO”. Deve ser utilizado preferencialmente um Identificador Global Exclusivo (GUID - Globally Unique Identifier) para cada registo. A geração de GUID é possível obter, por exemplo, no seguinte endereço: https://www.guidgenerator.com/;",,
objeto_poligono,codigo,Código,,"Campo do tipo texto, utilizável quando se desagrega ou especifica o objeto. Aplica-se às seguintes situações:
a) Aos objetos cuja desagregação é opcional, que podem ser:
i) Objetos do tema “Classificação e Qualificação do Solo”, de modo a desagregar as categorias de solo em subcategorias;
ii) Objetos do tema “Sistemas Estruturantes”, de modo a identificar a sua especificidade;
iii) Objetos da planta de condicionantes que se pretendam especificar individualmente, como por exemplo, os imóveis classificados, as áreas protegidas ou as captações de água.
b) Aos objetos da planta de ordenamento cuja especificação é obrigatória, que são
i) Objetos do tema “Programação da Execução do Plano” em que é obrigatória a identificação das UOPG e UE estabelecidas no plano;
ii) Objetos dos temas “Programas territoriais” e “Planos territoriais” em que é obrigatória a identificação das áreas do PDM abrangidas por programas setoriais, especiais ou intermunicipais e por planos territoriais de âmbito intermunicipal ou municipal, em vigor;
iii) Objetos do tema “Áreas de Intervenção de outros Instrumentos ou Entidades” bem como, AUGI e ARU representadas na planta de ordenamento.",,
objeto_poligono,etiqueta,Etiqueta,,"Campo do tipo texto, permite introduzir na simbologia uma etiqueta com uma sigla que identifique na planta o objeto em questão, indicando-se no título 3.1.2 (parágrafos 3.1.2.6 e 3.1.2.7) um exemplo da utilização deste campo.",,
objeto_poligono,fonte_inf,Fonte Inf.,,"Campo do tipo texto, para indicação da fonte/entidade de origem da informação representada (Por exemplo na planta de condicionantes, o objeto pode ter sido fornecido pela entidade que tutela a respetiva servidão).",,
objeto_poligono,data_inf,Data Inf.,,"Campo do tipo data, para indicação da data a que se reporta o objeto ou a data em que a câmara municipal obteve o objeto da fonte referida no campo FONTE_INF.",,
objeto_poligono,medida,Medida (ha),,Campo de tipo número decimal que se destina a registar a área dos polígonos em hectares (ha) ou o comprimento das linhas em quilómetros (km).,,
objeto_poligono,dtcc,DTCC,,Descrição: Código para identificar o município a que pertence cada elemento/objeto.; Alias: DTCC; Tipo de data: Texto,,
ato_especifico,num_dr,N.º DR,,Descrição: Campo do tipo texto que indica o número do Diário da República onde foi publicado o ato específico que constitui a servidão ou restrição de utilidade pública;; Alias: N.º DR; Tipo de data: Texto,,
ato_especifico,tipo_ato,Tipo Ato,,Descrição: Campo do tipo texto que indica o tipo de ato que constitui a servidão ou restrição de utilidade pública. Este campo tem como domínio do atributo as seguintes opções: “Lei”; “Decreto-Lei”; “Dec-Reg” caso se trate de Decreto-Regulamentar; “Decreto”; “RCM” caso se trate de Resolução do Conselho de Ministros”; “Portaria”; “Aviso”; “Decisao” caso se trate de Decisão; “Declaracao” caso se trate de Declaração; “Deliberacao” caso se trate de Deliberação; “Despacho”; “Desp-Conj” caso se trate de Despacho-Conjunto; e “Regulamento”;; Alias: Tipo Ato; Tipo de data: Texto,,
ato_especifico,num_ato,N.º Ato,,Descrição: Campo do tipo texto que indica o número do ato específico que constitui a servidão ou restrição de utilidade pública;; Alias: N.º Ato; Tipo de data: Texto,,
ato_especifico,data_ato,Data Ato,,Descrição: Campo do tipo data que indica a data do ato específico que constitui a servidão ou restrição de utilidade pública;; Alias: Data Ato; Tipo de data: Data,,
ato_especifico,n_deposito,N.º de Depósito,,Descrição: Campo que regista o N.º de Depósito; Alias: N.º de Depósito; Tipo de data: Texto,,
codigo_ine,dtcc,DTCC,,Descrição: Código para identificar o município a que pertence cada elemento/objeto.; Alias: DTCC; Tipo de data: Texto,,
codigo_ine,municipio,Município,,Descrição: Nome do município; Alias: Município; Tipo de data: Texto,,
codigo_ine,fid,FID,,"Descrição: Campo de numeração automatica e crescente, que identifica univocamente cada linha da tabela.; Alias: FID; Tipo de data: Inteiro",,
atribuir_concelho,dtcc,DTCC,,Descrição: Código para identificar o município a que pertence cada elemento/objeto.; Alias: DTCC; Tipo de data: Texto,,
atribuir_concelho,fid,FID,,"Descrição: Campo de numeração automatica e crescente, que identifica univocamente cada linha da tabela.; Alias: FID; Tipo de data: Inteiro",,
ato_especifico,serie,Série,,Descrição: Campo que indica a Série do Diário da República em que o ato foi publicado. Ex.: Série I – legislação geral; Série II – atos administrativos; Série III – publicações específicas.; Alias: Série; Tipo de data: Texto,,
ato_especifico,dtcc,DTCC,,Descrição: Código para identificar o município a que pertence cada elemento/objeto.; Alias: DTCC; Tipo de data: Texto,,
ato_especifico,fid,FID,,"Descrição: Campo de numeração automatica e crescente, que identifica univocamente cada linha da tabela.; Alias: FID; Tipo de data: Inteiro",,
ato_especifico,observ,Observações,,Descrição: ; Alias: Observações; Tipo de data: Texto,,
objeto_planta,fid,FID,,"Descrição: Campo de numeração automatica e crescente, que identifica univocamente cada linha da tabela.; Alias: FID; Tipo de data: Inteiro",,
objeto_planta,planta,Planta,,"Descrição: Campo do tipo texto que identifica a planta em que o objeto pode ser representado, podendo ter como domínio do atributo as seguintes opções: “Ordenamento” para planta de ordenamento; “Condicionantes” para planta de condicionantes; Alias: planta; Tipo de data: Texto",,
objeto_tipo,fid,FID,,"Descrição: Campo de numeração automatica e crescente, que identifica univocamente cada linha da tabela.; Alias: FID; Tipo de data: Inteiro",,
objeto_tipo,planta_o,Planta Ord.,,"Descrição: Campo do tipo texto que identifica a planta em que o objeto pode ser representado, podendo ter como domínio do atributo “Ordenamento” para planta de ordenamento; Alias: planta_o; Tipo de data: Texto",,
objeto_tipo,tema_o,Tema Ord.,,Descrição: ; Alias: tema_o; Tipo de data: Texto,,
objeto_tipo,subtema_o,Subtema Ord.,,Descrição: ; Alias: subtema_o; Tipo de data: Texto,,
objeto_tipo,planta_c,Planta Cond.,,"Descrição: Descrição: Campo do tipo texto que identifica a planta em que o objeto pode ser representado, podendo ter como domínio do atributo “Condicionantes” para planta de condicionantes;; Alias: planta_c; Tipo de data: Texto",,
objeto_tipo,tema_c,Tema Cond.,,Descrição: ; Alias: tema_c; Tipo de data: Texto,,
