codigo,designacao,planta_o,tema_o,subtema_o,planta_c,tema_c,subtema_c,geometria
1,Área de Intervenção do Plano,Ordenamento,Área de Intervenção do Plano,Área de Intervenção do Plano,Condicionantes,Área de Intervenção do Plano,Área de Intervenção do Plano,Polígono
2,Espaço Central,Ordenamento,Classificação e Qualificação do Solo,Solo Urbano,,,,Polígono
3,Espaço Habitacional,Ordenamento,Classificação e Qualificação do Solo,Solo Urbano,,,,Polígono
4,Espaço Urbano de Baixa Densidade,Ordenamento,Classificação e Qualificação do Solo,Solo Urbano,,,,Polígono
5,Espaço de Atividades Económicas,Ordenamento,Classificação e Qualificação do Solo,Solo Urbano,,,,Polígono
152,Espaço de uso especial – equipamento,Ordenamento,Classificação e Qualificação do Solo,Solo Urbano,,,,Polígono
151,Espaço de uso especial – infraestrutura estruturante,Ordenamento,Classificação e Qualificação do Solo,Solo Urbano,,,,Polígono
6,Espaço de uso especial – turístico,Ordenamento,Classificação e Qualificação do Solo,Solo Urbano,,,,Polígono
7,Espaço Verde,Ordenamento,Classificação e Qualificação do Solo,Solo Urbano,,,,Polígono
8,Espaço Agrícola,Ordenamento,Classificação e Qualificação do Solo,Solo Rústico,,,,Polígono
9,Espaço Florestal,Ordenamento,Classificação e Qualificação do Solo,Solo Rústico,,,,Polígono
10,Espaço de Exploração de Recursos Energéticos e Geológicos,Ordenamento,Classificação e Qualificação do Solo,Solo Rústico,,,,Polígono
11,Espaço Natural e Paisagístico,Ordenamento,Classificação e Qualificação do Solo,Solo Rústico,,,,Polígono
12,Espaço de Atividades Industriais,Ordenamento,Classificação e Qualificação do Solo,Solo Rústico,,,,Polígono
13,Aglomerado Rural,Ordenamento,Classificação e Qualificação do Solo,Solo Rústico,,,,Polígono
14,Área de Edificação Dispersa,Ordenamento,Classificação e Qualificação do Solo,Solo Rústico,,,,Polígono
15,Espaço Cultural,Ordenamento,Classificação e Qualificação do Solo,Solo Rústico,,,,Polígono
16,Espaço de Ocupação Turística,Ordenamento,Classificação e Qualificação do Solo,Solo Rústico,,,,Polígono
17,Espaço de Equipamentos e Infraestruturas,Ordenamento,Classificação e Qualificação do Solo,Solo Rústico,,,,Polígono
18,Estrutura Ecológica Municipal,Ordenamento,Áreas com Funções Específicas,Estrutura Ecológica Municipal,,,,Polígono
19,Espaço Canal,Ordenamento,Áreas com Funções Específicas,Espaço Canal,,,,Polígono
134,Área de Perigosidade,Ordenamento,Áreas com Funções Específicas,Risco,,,,Polígono
133,Área de Risco,Ordenamento,Áreas com Funções Específicas,Risco,,,,Polígono
139,Zona Sensível ao Ruído,Ordenamento,Áreas com Funções Específicas,Ruído,,,,Polígono
140,Zona Mista ao Ruído,Ordenamento,Áreas com Funções Específicas,Ruído,,,,Polígono
145,Zona de proteção e de salvaguarda dos recursos e valores naturais,Ordenamento,Áreas com Funções Específicas,Zona de proteção e de salvaguarda dos recursos e valores naturais,,,,Polígono
149,Geossítio,Ordenamento,Áreas com Funções Específicas,Património geológico,,,,Polígono
150,Imóvel inventariado,Ordenamento,Áreas com Funções Específicas,Inventário de bens culturais,,,,Ponto
20,Unidade Operativa de Planeamento e Gestão (U.O.P.G.),Ordenamento,Programação da Execução do Plano,Programação da Execução do Plano,,,,Polígono
138,Unidade de execução,Ordenamento,Programação da Execução do Plano,Programação da Execução do Plano,,,,Polígono
21,Área de Intervenção de Programa Especial,Ordenamento,Áreas de Intervenção de Outros Instrumentos ou Entidades,Programas Territoriais,,,,Polígono
