cod_obje,nome_obje,acron_obje,tema,subtema,legenda,geometria
1,Faixa marítima de proteção costeira,FMPC,Áreas de proteção do litoral,Faixa marítima de proteção costeira,Faixa marítima de proteção costeira,polígono
2,Praias,PRA,Áreas de proteção do litoral,Praias,Praias,polígono
3,Restingas,REST,Áreas de proteção do litoral,Barreiras detríticas,Barreiras detríticas,polígono
4,Barreiras soldadas,BARR_SOLD,Áreas de proteção do litoral,Barreiras detríticas,Barreiras detríticas,polígono
5,Ilhas-Barreira,ILH-BARR,Áreas de proteção do litoral,Barreiras detríticas,Barreiras detríticas,polígono
6,Tômbolos,TOMB,Áreas de proteção do litoral,Tômbolos,Tômbolos,polígono
7,Sapais,SAP,Áreas de proteção do litoral,Sapais,Sapais,polígono
8,Ilhéus,ILHEUS,Áreas de proteção do litoral,Ilhéus e rochedos emersos no mar,Ilhéus e rochedos emersos no mar,polígono
9,Rochedos emersos no mar,ROCHEDOS,Áreas de proteção do litoral,Ilhéus e rochedos emersos no mar,Ilhéus e rochedos emersos no mar,polígono
10,Dunas costeiras litorais,DUN_LIT,Áreas de proteção do litoral,Dunas costeiras e dunas fósseis,Dunas costeiras litorais,polígono
11,Dunas costeiras interiores,DUN_INT,Áreas de proteção do litoral,Dunas costeiras e dunas fósseis,Dunas costeiras interiores,polígono
12,Dunas fósseis,DUN_FOSS,Áreas de proteção do litoral,Dunas costeiras e dunas fósseis,Dunas fósseis,polígono
13,Arribas,ARRIB,Áreas de proteção do litoral,Arribas e respetivas faixas de proteção,Arribas,polígono
14,Faixa de proteção de arribas a partir do rebordo superior,FPA_SUP,Áreas de proteção do litoral,Arribas e respetivas faixas de proteção,Faixas de proteção das arribas,polígono
15,Faixa de proteção de arribas a partir da base da arriba,FPA_BASE,Áreas de proteção do litoral,Arribas e respetivas faixas de proteção,Faixas de proteção das arribas,polígono
16,Faixa terrestre de proteção costeira,FTPC,Áreas de proteção do litoral,Faixa terrestre de proteção costeira,Faixa terrestre de proteção costeira,polígono
17,Águas do mar - Margem,AG_MAR,Áreas de proteção do litoral,Águas do mar,Águas do mar - Margem,polígono
18,Águas de transição - Leito,AT_LEITO,Áreas relevantes para a sustentabilidade do ciclo hidrológico terrestre,"Águas de transição e respetivos leitos, margens e faixas de proteção",Águas de transição - Leito,polígono
19,Águas de transição - Margem,AT_MARGEM,Áreas relevantes para a sustentabilidade do ciclo hidrológico terrestre,"Águas de transição e respetivos leitos, margens e faixas de proteção",Águas de transição - Margem,polígono
20,Águas de transição - Faixa de proteção,AT_FP,Áreas relevantes para a sustentabilidade do ciclo hidrológico terrestre,"Águas de transição e respetivos leitos, margens e faixas de proteção",Águas de transição - Faixa de proteção,polígono
21,Cursos de água - Leito,CA_LEITO,Áreas relevantes para a sustentabilidade do ciclo hidrológico terrestre,Cursos de água e respetivos leitos e margens,Cursos de água - Leito,"linha, polígono"
22,Cursos de água - Leito canalizado,CA_LCANAL,Áreas relevantes para a sustentabilidade do ciclo hidrológico terrestre,Cursos de água e respetivos leitos e margens,Cursos de água - Leito canalizado,linha
23,Cursos de água - Margem,CA_MARGEM,Áreas relevantes para a sustentabilidade do ciclo hidrológico terrestre,Cursos de água e respetivos leitos e margens,Cursos de água - Margem,polígono
24,Lagoas e lagos - Leito,LL_LEITO,Áreas relevantes para a sustentabilidade do ciclo hidrológico terrestre,"Lagoas e lagos e respetivos leitos, margens e faixas de proteção",Lagoas e lagos - Leito,polígono
25,Lagoas e lagos - Margem,LL_MARGEM,Áreas relevantes para a sustentabilidade do ciclo hidrológico terrestre,"Lagoas e lagos e respetivos leitos, margens e faixas de proteção",Lagoas e lagos - Margem,polígono
