"table_name","column_name","name","title","description","mime_type","constraint_name"
catalogo,tema,Tema,,Descrição: Agregação de tipologias de áreas a incluir na REN ou áreas a excluir da REN.; Alias: Tema; Tipo de data: Texto,,
catalogo,subtema,SubTema,,Descrição: Nome da tipologia de área a incluir na REN ou do tipo de exclusão da REN.; Alias: Subtema; Tipo de data: Texto,,
catalogo,nome_obje,Nome do Objeto,,Descrição: Designação do objeto.; Alias: Nome do Objeto; Tipo de data: Texto,,
catalogo,cod_obje,Código do Objeto,,Descrição: Código do objeto utilizado no catálogo de objetos. Campo que identifica univocamente cada linha da tabela.; Alias: Código do Objeto; Tipo de data: Inteiro,,
catalogo,legenda,Legenda,,Descrição: Texto que identifica o objeto na “Legenda da simbologia” da carta da REN; Alias: Legenda; Tipo de data: Texto,,
catalogo,acron_obje,Acrónimo do Objeto,,Descrição: Acrónimo do nome do objeto; Alias: Acrónimo do Objeto; Tipo de data: Texto,,
codigo_ine,dtcc,DTCC ,,Descrição: Código para identificar o município a que pertence cada elemento/objeto.; Alias: DTCC; Tipo de data: Texto,,
det_excl_p,fid,FID,,"Descrição: Campo de numeração automatica e crescente, que identifica univocamente cada linha da tabela.; Alias: FID; Tipo de data: Inteiro",,
det_excl_p,exclusao,Exclusão,,Descrição: Tipo e número de ordem da exclusão (de C1 a Cn e E1 a En); Alias: Exclusão; Tipo de data: Texto,,
det_excl_p,cod_obje,Código do Objeto,,Descrição: Código do objeto utilizado no catálogo de objetos (códigos 37 e 38).; Alias: Código do Objeto; Tipo de data: Inteiro,,
det_excl_p,area_m2,Área (m2),,Descrição: Medida da superfície do polígono em metros quadrados.; Alias:Área (m2); Tipo de data: Número Real,,
det_excl_tip,fid,FID,,"Descrição: Campo de numeração automatica e crescente, que identifica univocamente cada linha da tabela.; Alias: FID; Tipo de data: Inteiro",,
det_excl_tip,fid_d_tip_p,FID D. Tip. P.,,Descrição: Campo de numeração automatica da tabela DET_TIP_P; Alias: FID D. Tip. P.; Tipo de data: Inteiro,,
det_excl_tip,fid_d_excl_p,FID D. Excl. P.,,Descrição: Campo de numeração automatica da tabela DET_EXCL_P; Alias: FID D. Excl. P.; Tipo de data: Inteiro,,
det_tip_l,fid,FID,,"Descrição: Campo de numeração automática e crescente, que identifica univocamente cada linha da tabela.; Alias: FID; Tipo de data: Inteiro",,
det_tip_l,cod_obje,Código do Objeto,,Descrição: Código do objeto utilizado no catálogo de objetos (códigos 21 e 22).; Alias: Código do Objeto; Tipo de data: Inteiro,,
det_tip_l,comp_m,Comprimento (m),,Descrição: Distância entre o ponto inicial e o final medida em metros.; Alias: Comprimento (m); Tipo de data: Número Real,,
det_tip_p,fid,FID,,"Descrição: Campo de numeração automatica e crescente, que identifica univocamente cada linha da tabela.; Alias: FID; Tipo de data: Inteiro",,
det_tip_p,cod_obje,Código do Objeto,,Descrição: Código do objeto utilizado no catálogo de objetos (códigos 1 a 36).; Alias: Código do Objeto; Tipo de data: Inteiro,,
det_tip_p,area_m2,Área (m2),,Descrição: Medida da superfície do polígono em metros quadrados.; Alias: Área (m2); Tipo de data: Número Real,,
excl_p,fid,FID,,"Descrição: Campo de numeração automatica e crescente, que identifica univocamente cada linha da tabela.; Alias: FID; Tipo de data: Inteiro",,
excl_p,exclusao,Exclusão,,Descrição: Tipo e número de ordem da exclusão (de C1 a Cn e E1 a En); Alias: Exclusão; Tipo de data: Texto,,
excl_p,cod_obje,Código do Objeto,,Descrição: Código do objeto utilizado no catálogo de objetos (códigos 37 e 38).; Alias: Código do Objeto; Tipo de data: Inteiro,,
excl_p,area_m2,Área (m2),,Descrição: Medida da superfície do polígono em metros quadrados.; Alias: Área (m2); Tipo de data: Número Real,,
excl_p,fundamento,Fundamentação,,Descrição: Fundamentação da necessidade de exclusão.; Alias: Fundamentação; Tipo de data: Texto,,
excl_tip,fid,FID,,"Descrição: Campo de numeração automatica e crescente, que identifica univocamente cada linha da tabela.; Alias: FID; Tipo de data: ",,
excl_tip,fid_tip_p,FID Tip. P.,,Descrição: Campo de numeração automatica da tabela TIP_P; Alias: FID Tip. P.; Tipo de data: Inteiro,,
excl_tip,fid_excl_p,FID Excl. P.,,Descrição: Campo de numeração automatica da tabela EXCL_P; Alias: FID Excl. P.; Tipo de data: Inteiro,,
tip_l,fid,FID,,"Descrição: Campo de numeração automática e crescente, que identifica univocamente cada linha da tabela.; Alias: FID; Tipo de data: Inteiro",,
tip_l,cod_obje,Código do Objeto,,Descrição: Código do objeto utilizado no catálogo de objetos (códigos 21 e 22).; Alias: Código do Objeto; Tipo de data: Inteiro,,
tip_l,comp_m,Comprimento (m),,Descrição: Distância entre o ponto inicial e o final medida em metros.; Alias: Comprimento (m); Tipo de data: Número Real,,
tip_p,fid,FID,,"Descrição: Campo de numeração automatica e crescente, que identifica univocamente cada linha da tabela.; Alias: FID; Tipo de data: Inteiro",,
tip_p,cod_obje,Código do Objeto,,Descrição: Código do objeto utilizado no catálogo de objetos (códigos 1 a 36).; Alias: Código do Objeto; Tipo de data: Inteiro,,
tip_p,area_m2,Área (m2),,Descrição: Medida da superfície do polígono em metros quadrados.; Alias: Área (m2); Tipo de data: Número Real,,
det_excl_tip,cod_tip,Código do Objeto D. Tip. P.,,Descrição: Código do objeto utilizado no catálogo de objetos.; Alias: Código do Objeto D. Tip. P.; Tipo de data: Inteiro,,
excl_tip,cod_obje,Código do Objeto,,Descrição: Código do objeto utilizado no catálogo de objetos.; Alias: Código do Objeto; Tipo de data: Inteiro,,
ato_especifico,num_dr,N.º DR,,Descrição: Campo do tipo texto que indica o número do Diário da República onde foi publicado o ato específico que constitui a servidão ou restrição de utilidade pública.; Alias: N.º DR; Tipo de data: Texto,,
ato_especifico,tipo_ato,Tipo Ato,,Descrição: Campo do tipo texto que indica o tipo de ato que constitui a servidão ou restrição de utilidade pública. Este campo tem como domínio do atributo as seguintes opções: “Lei”; “Decreto-Lei”; “Dec-Reg” caso se trate de Decreto-Regulamentar; “Decreto”; “RCM” caso se trate de Resolução do Conselho de Ministros”; “Portaria”; “Aviso”; “Decisao” caso se trate de Decisão; “Declaracao” caso se trate de Declaração; “Deliberacao” caso se trate de Deliberação; “Despacho”; “Desp-Conj” caso se trate de Despacho-Conjunto; e “Regulamento”.; Alias: Tipo Ato; Tipo de data: Texto,,
ato_especifico,num_ato,N.º Ato,,Descrição: Campo do tipo texto que indica o número do ato específico que constitui a servidão ou restrição de utilidade pública.; Alias: N.º Ato; Tipo de data: Texto,,
ato_especifico,data_ato,Data Ato,,Descrição: Campo do tipo texto que indica o número do ato específico que constitui a servidão ou restrição de utilidade pública.; Alias: Data Ato; Tipo de data: Data,,
ato_especifico,observ,Observações,,"Descrição: [Eliminado] Campo do tipo texto, de preenchimento não obrigatório, destinado à indicação de outras observações. Alias: Observações; Tipo de data: Texto",,
tip_l,dtcc,DTCC,,Descrição: Código para identificar o município a que pertence cada elemento/objeto.; Alias: DTCC; Tipo de data: Texto,,
tip_p,dtcc,DTCC,,Descrição: Código para identificar o município a que pertence cada elemento/objeto.; Alias: DTCC; Tipo de data: Texto,,
excl_p,dtcc,DTCC,,Descrição: Código para identificar o município a que pertence cada elemento/objeto.; Alias: DTCC; Tipo de data: Texto,,
excl_tip,dtcc,DTCC,,Descrição: Código para identificar o município a que pertence cada elemento/objeto.; Alias: DTCC; Tipo de data: Texto,,
det_tip_l,dtcc,DTCC,,Descrição: Código para identificar o município a que pertence cada elemento/objeto.; Alias: DTCC; Tipo de data: Texto,,
det_tip_p,dtcc,DTCC,,Descrição: Código para identificar o município a que pertence cada elemento/objeto.; Alias: DTCC; Tipo de data: Texto,,
det_excl_p,dtcc,DTCC,,Descrição: Código para identificar o município a que pertence cada elemento/objeto.; Alias: DTCC; Tipo de data: Texto,,
det_excl_tip,dtcc,DTCC,,Descrição: Código para identificar o município a que pertence cada elemento/objeto.; Alias: DTCC; Tipo de data: Texto,,
codigo_ine,municipio,Município,,Descrição: Nome do município; Alias: Município; Tipo de data: Texto,,
atribuir_concelho,dtcc,DTCC,,Descrição: Código para identificar o município a que pertence cada elemento/objeto.; Alias: DTCC; Tipo de data: Texto,,
ato_especifico,serie,Série,,Descrição: Campo que indica a Série do Diário da República em que o ato foi publicado. Ex.: Série I – legislação geral; Série II – atos administrativos; Série III – publicações específicas.; Alias: Série; Tipo de data: Texto,,
ato_especifico,dtcc,DTCC,,Descrição: Código para identificar o município a que pertence cada elemento/objeto.; Alias: DTCC; Tipo de data: Texto,,
ato_especifico,n_deposito,N.º de Depósito,,Descrição: Campo que regista o N.º de Depósito; Alias: N.º de Depósito; Tipo de data: Texto,,
catalogo,geometria,Geometria,,"Descrição: Campo para identificar a que tipo de geometria se aplica o ""Código do Objeto""; Alias: Geometria; Tipo de data: Texto",,
det_excl_p,geom,geom,,Descrição: Campo Geometria.; Alias: geom; Tipo de data: MULTIPOLYGON,,
det_excl_p,ato_id,Ato ID,,"Descrição: Campo que identifica o ID da tabela ""ato_especifico"".; Alias: ato_id; Tipo de data: Inteiro",,
det_tip_l,geom,geom,,Descrição: Campo Geometria.; Alias: geom; Tipo de data: MULTILINESTRING,,
det_tip_l,ato_id,Ato ID,,"Descrição: Campo que identifica o ID da tabela ""ato_especifico"".; Alias: ato_id; Tipo de data: Inteiro",,
det_tip_p,geom,geom,,Descrição: Campo Geometria.; Alias: geom; Tipo de data: MULTIPOLYGON,,
det_tip_p,ato_id,Ato ID,,"Descrição: Campo que identifica o ID da tabela ""ato_especifico"".; Alias: ato_id; Tipo de data: Inteiro",,
excl_p,geom,geom,,Descrição: Campo Geometria.; Alias: geom; Tipo de data: MULTIPOLYGON,,
excl_p,fim_dest,Fim a que se destina,,Descrição: Fim a que se destina a area a excluir.; Alias: Fim a que se destina; Tipo de data: Texto,,
excl_p,ato_id,Ato ID,,"Descrição: Campo que identifica o ID da tabela ""ato_especifico"".; Alias: ato_id; Tipo de data: Inteiro",,
tip_l,geom,geom,,Descrição: Campo Geometria.; Alias: geom; Tipo de data: MULTILINESTRING,,
tip_l,ato_id,Ato ID,,"Descrição: Campo que identifica o ID da tabela ""ato_especifico"".; Alias: ato_id; Tipo de data: Inteiro",,
tip_p,geom,geom,,Descrição: Campo Geometria.; Alias: geom; Tipo de data: MULTIPOLYGON,,
tip_p,ato_id,Ato ID,,"Descrição: Campo que identifica o ID da tabela ""ato_especifico"".; Alias: ato_id; Tipo de data: Inteiro",,
atribuir_concelho,fid,FID,,"Descrição: Campo de numeração automatica e crescente, que identifica univocamente cada linha da tabela.; Alias: FID; Tipo de data: Inteiro",,
ato_especifico,fid,FID,,"Descrição: Campo de numeração automatica e crescente, que identifica univocamente cada linha da tabela.; Alias: FID; Tipo de data: Inteiro",,
catalogo,fid,FID,,"Descrição: Campo de numeração automatica e crescente, que identifica univocamente cada linha da tabela.; Alias: FID; Tipo de data: Inteiro",,
codigo_ine,fid,FID,,"Descrição: Campo de numeração automatica e crescente, que identifica univocamente cada linha da tabela.; Alias: FID; Tipo de data: Inteiro",,
excl_tip,exclusao,Exclusão,,Descrição: Tipo e número de ordem da exclusão (de C1 a Cn e E1 a En); Alias: Exclusão; Tipo de data: Texto,,
excl_tip,fundamento,Fundamentação,,Descrição: Fundamentação da necessidade de exclusão.; Alias: Fundamentação; Tipo de data: Texto,,
excl_tip,fim_dest,Fim a que se destina,,Descrição: Fim a que se destina a area a excluir.; Alias: Fim a que se destina; Tipo de data: Texto,,
excl_tip,ato_tip,Ato ID Tip.P.,,"Descrição: Campo que identifica o ID da tabela ""ato_especifico"" presente na tabela ""tip_p"".; Alias: Ato ID Tip.P.; Tipo de data: Inteiro",,
excl_tip,ato_excl,Ato ID Excl.P.,,"Descrição: Campo que identifica o ID da tabela ""ato_especifico"" presente na tabela ""excl_p"".; Alias: Ato ID Excl.P.; Tipo de data: Inteiro",,
det_excl_tip,exclusao,Exclusão,,Descrição: Tipo e número de ordem da exclusão (de C1 a Cn e E1 a En); Alias: Exclusão; Tipo de data: Texto,,
det_excl_tip,cod_excl,Código do Objeto D. Excl. P.,,Descrição: Código do objeto utilizado no catálogo de objetos.; Alias: Código do Objeto D. Excl. P.; Tipo de data: Inteiro,,
det_excl_tip,area_tip,Área (m2) Det. Tip. P.,,Descrição: Medida da superfície do polígono em metros quadrados.; Alias:Área (m2) Det. Tip. P.; Tipo de data: Número Real,,
det_excl_tip,ato_tip,Ato ID Det. Tip. P.,,"Descrição: Campo que identifica o ID da tabela ""ato_especifico"" presente na tabela ""det_tip_p"".; Alias: Ato ID Det. Tip. P.; Tipo de data: Inteiro",,
det_excl_tip,ato_excl,Ato ID Det. Excl. P.,,"Descrição: Campo que identifica o ID da tabela ""ato_especifico"" presente na tabela ""det_excl_p"".; Alias: Ato ID Det. Excl. P.; Tipo de data: Inteiro",,
det_excl_tip,area_excl,Área (m2) Det. Excl. P.,,Descrição: Medida da superfície do polígono em metros quadrados.; Alias: Área (m2) Det. Excl. P.; Tipo de data: Número Real,,
catalogo_l,tema,Tema,,Descrição: Agregação de tipologias de áreas a incluir na REN ou áreas a excluir da REN.; Alias: Tema; Tipo de data: Texto,,
catalogo_l,subtema,SubTema,,Descrição: Nome da tipologia de área a incluir na REN ou do tipo de exclusão da REN.; Alias: Subtema; Tipo de data: Texto,,
catalogo_l,nome_obje,Nome do Objeto,,Descrição: Designação do objeto.; Alias: Nome do Objeto; Tipo de data: Texto,,
catalogo_l,cod_obje,Código do Objeto,,Descrição: Código do objeto utilizado no catálogo de objetos. Campo que identifica univocamente cada linha da tabela.; Alias: Código do Objeto; Tipo de data: Inteiro,,
catalogo_l,legenda,Legenda,,Descrição: Texto que identifica o objeto na “Legenda da simbologia” da carta da REN; Alias: Legenda; Tipo de data: Texto,,
catalogo_l,acron_obje,Acrónimo do Objeto,,Descrição: Acrónimo do nome do objeto; Alias: Acrónimo do Objeto; Tipo de data: Texto,,
catalogo_p,tema,Tema,,Descrição: Agregação de tipologias de áreas a incluir na REN ou áreas a excluir da REN.; Alias: Tema; Tipo de data: Texto,,
catalogo_p,subtema,SubTema,,Descrição: Nome da tipologia de área a incluir na REN ou do tipo de exclusão da REN.; Alias: Subtema; Tipo de data: Texto,,
catalogo_p,nome_obje,Nome do Objeto,,Descrição: Designação do objeto.; Alias: Nome do Objeto; Tipo de data: Texto,,
catalogo_p,cod_obje,Código do Objeto,,Descrição: Código do objeto utilizado no catálogo de objetos. Campo que identifica univocamente cada linha da tabela.; Alias: Código do Objeto; Tipo de data: Inteiro,,
catalogo_p,legenda,Legenda,,Descrição: Texto que identifica o objeto na “Legenda da simbologia” da carta da REN; Alias: Legenda; Tipo de data: Texto,,
catalogo_p,acron_obje,Acrónimo do Objeto,,Descrição: Acrónimo do nome do objeto; Alias: Acrónimo do Objeto; Tipo de data: Texto,,
catalogo_excl,tema,Tema,,Descrição: Agregação de tipologias de áreas a incluir na REN ou áreas a excluir da REN.; Alias: Tema; Tipo de data: Texto,,
catalogo_excl,subtema,SubTema,,Descrição: Nome da tipologia de área a incluir na REN ou do tipo de exclusão da REN.; Alias: Subtema; Tipo de data: Texto,,
catalogo_excl,nome_obje,Nome do Objeto,,Descrição: Designação do objeto.; Alias: Nome do Objeto; Tipo de data: Texto,,
catalogo_excl,cod_obje,Código do Objeto,,Descrição: Código do objeto utilizado no catálogo de objetos. Campo que identifica univocamente cada linha da tabela.; Alias: Código do Objeto; Tipo de data: Inteiro,,
catalogo_excl,legenda,Legenda,,Descrição: Texto que identifica o objeto na “Legenda da simbologia” da carta da REN; Alias: Legenda; Tipo de data: Texto,,
catalogo_excl,acron_obje,Acrónimo do Objeto,,Descrição: Acrónimo do nome do objeto; Alias: Acrónimo do Objeto; Tipo de data: Texto,,
catalogo_l,fid,FID,,"Descrição: Campo de numeração automatica e crescente, que identifica univocamente cada linha da tabela.; Alias: FID; Tipo de data: Inteiro",,
catalogo_p,fid,FID,,"Descrição: Campo de numeração automatica e crescente, que identifica univocamente cada linha da tabela.; Alias: FID; Tipo de data: Inteiro",,
catalogo_excl,fid,FID,,"Descrição: Campo de numeração automatica e crescente, que identifica univocamente cada linha da tabela.; Alias: FID; Tipo de data: Inteiro",,
catalogo_l,geometria,Geometria,,"Descrição: Campo para identificar a que tipo de geometria se aplica o ""Código do Objeto""; Alias: Geometria; Tipo de data: Texto",,
catalogo_p,geometria,Geometria,,"Descrição: Campo para identificar a que tipo de geometria se aplica o ""Código do Objeto""; Alias: Geometria; Tipo de data: Texto",,
catalogo_excl,geometria,Geometria,,"Descrição: Campo para identificar a que tipo de geometria se aplica o ""Código do Objeto""; Alias: Geometria; Tipo de data: Texto",,
excl_tip,area_tip,Área (m2) Tip. P.,,Descrição: ; Alias: Área (m2) Tip. P.; Tipo de data: Número Real,,
excl_tip,area_excl,Área (m2) Excl. P.,,Descrição: ; Alias: Área (m2) Excl. P.; Tipo de data: Número Real,,
quadro_anexo,fid,FID,,Descrição: ; Alias: FID; Tipo de data: ,,
quadro_anexo,fid_excl_p,FID Excl. P,,Descrição: ; Alias: FID Excl. P; Tipo de data: Inteiro,,
quadro_anexo,dtcc,DTCC,,Descrição: ; Alias: DTCC; Tipo de data: Texto,,
